date,total_score,assessment,article_count,escalation_articles,deescalation_articles,neutral_articles
2026-03-03,-8,moderate escalation,9,,,
2026-03-04,-28,moderate escalation,6,6,0,0
2026-03-05,-30,moderate escalation,7,7,0,0
2026-03-06,-39,moderate escalation,11,10,0,1
2026-03-07,-62,strong escalation,12,11,1,0
2026-03-08,-117,strong escalation,16,15,0,1
2026-03-09,-62,strong escalation,9,7,1,1
2026-03-10,-32,moderate escalation,9,7,2,0
2026-03-11,-355,strong escalation,75,65,5,5
2026-03-12,-335,strong escalation,73,64,3,6
2026-03-13,-355,strong escalation,80,68,7,5
2026-03-14,-342,strong escalation,76,63,6,7
2026-03-15,-301,strong escalation,70,63,5,2
2026-03-16,-237,strong escalation,64,58,4,2
2026-03-17,-214,strong escalation,62,55,3,4
2026-03-18,-202,strong escalation,64,55,3,6
